date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:50	58578/58578	---M--	200	added ('OK')	text/css	etag:%2253820f6-e4d2-5b2beaea367a6%22	http://pxdraft.com/pxdemo/softon/static/vendor/fontawesome/css/all.min.css	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/fontawesome/css/all.min.css	(from http://pxdraft.com/pxdemo/softon/static/css/style.css)
14:47:52	10401/10401	---M--	200	added ('OK')	application/javascript	etag:%22538204a-28a1-5b2beabf5887c%22	http://pxdraft.com/pxdemo/softon/static/js/custom.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/js/custom.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:52	321/321	---M--	200	added ('OK')	text/css	etag:%225382065-141-5b2beac824fc8%22	http://pxdraft.com/pxdemo/softon/static/vendor/jarallax/jarallax.css	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/jarallax/jarallax.css	(from http://pxdraft.com/pxdemo/softon/static/css/style.css)
14:47:54	36240/36240	---M--	200	added ('OK')	application/javascript	etag:%225382062-8d90-5b2beac77a163%22	http://pxdraft.com/pxdemo/softon/static/vendor/jarallax/jarallax-all.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/jarallax/jarallax-all.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:54	6951/6951	---M--	200	added ('OK')	text/css	etag:%22538206a-1b27-5b2beaca0cc85%22	http://pxdraft.com/pxdemo/softon/static/vendor/magnific/magnific-popup.css	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/magnific/magnific-popup.css	(from http://pxdraft.com/pxdemo/softon/static/css/style.css)
14:47:56	2936/2936	---M--	200	added ('OK')	text/css	etag:%22538210a-b78-5b2beaf50de2f%22	http://pxdraft.com/pxdemo/softon/static/vendor/owl-carousel/css/owl.carousel.min.css	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/owl-carousel/css/owl.carousel.min.css	(from http://pxdraft.com/pxdemo/softon/static/css/style.css)
14:47:58	667905/667905	---M--	200	added ('OK')	image/jpeg	etag:%225380ea3-a3101-5b2beaa266151%22	http://pxdraft.com/pxdemo/softon/static/img/blog-3.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/blog-3.jpg	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:58	345/345	---M--	200	added ('OK')	image/svg+xml	etag:%225382057-159-5b2beac3e0f03%22	http://pxdraft.com/pxdemo/softon/static/img/effect/style-1.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/effect/style-1.svg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:49:43	581970/581970	---M--	200	added ('OK')	image/jpeg	etag:%225380e97-8e152-5b2bea96e5f8b%22	http://pxdraft.com/pxdemo/softon/static/img/about-1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/about-1.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:50:20	814264/814264	---M--	200	added ('OK')	image/jpeg	etag:%225380e9a-c6cb8-5b2bea9a1f6a9%22	http://pxdraft.com/pxdemo/softon/static/img/about-4.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/about-4.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
